Task_ID,Title,Description,Assignee,Created_Date,Due_Date,Completed_Date,Status,Priority,Estimated_Hours,Actual_Hours,Project,Labels/Tags,Task_Complexity,Predicted_Priority,Delay_Risk_Score,Completion_Probability,AI_Recommendation
1574,Data Analysis,Backend API task for Automation Bot project.,Alice,18/10/2024,08/11/2024,08/11/2024,Completed,High,15,14,Automation Bot,AI,Medium,Critical,0.31,0.69,Increase resources for faster completion
1575,Testing,Testing task for Automation Bot project.,Fiona,13/09/2024,28/09/2024,28/09/2024,Completed,High,2,5,Smart Workflow,integration,Medium,High,0.45,0.55,Review task dependencies
1576,Testing,Testing task for Automation Bot project.,Ethan,15/07/2024,23/07/2024,23/07/2024,Completed,High,4,3,Automation Bot,frontend,Low,Medium,0.41,0.59,Review task dependencies
1577,Testing,Backend API task for Productivity Suite project.,Fiona,03/10/2024,15/10/2024,,In Progress,High,2,3,Productivity Suite,integration,Low,Critical,0.88,0.12,Reassign to experienced member
1578,Documentation,Data Analysis task for Data Analytics project.,Charlie,17/03/2024,10/04/2024,10/04/2024,Completed,Critical,12,12,Smart Workflow,ML,Medium,Medium,0.28,0.72,Reassign to experienced member
1579,Data Analysis,Backend API task for Data Analytics project.,Fiona,04/09/2024,13/09/2024,13/09/2024,Completed,Critical,11,15,Data Analytics,integration,Medium,High,0.92,0.08,Review task dependencies
1580,Testing,Backend API task for Smart Workflow project.,George,02/11/2024,07/11/2024,07/11/2024,Completed,High,8,7,Smart Workflow,NLP,Low,Critical,0.68,0.32,Reassign to experienced member
1581,Backend API,Testing task for AI Task Manager project.,Fiona,21/11/2024,09/12/2024,09/12/2024,Completed,Medium,2,4,Automation Bot,AI,Low,Low,0.89,0.11,Automate repetitive sub-tasks
1582,User Feedback Integration,User Feedback Integration task for AI Task Manager project.,Ethan,03/02/2024,20/02/2024,20/02/2024,Completed,Critical,8,13,AI Task Manager,ML,High,Low,0.38,0.62,Increase resources for faster completion
1583,UI Design,Bug Fix task for Smart Workflow project.,Alice,01/09/2024,10/09/2024,10/09/2024,Completed,High,12,17,Data Analytics,backend,Low,Medium,0.25,0.75,Automate repetitive sub-tasks
1584,Bug Fix,Data Analysis task for Productivity Suite project.,Bob,07/05/2024,31/05/2024,31/05/2024,Completed,High,10,9,Automation Bot,testing,High,Low,0.51,0.49,Automate repetitive sub-tasks
1585,User Feedback Integration,Documentation task for Smart Workflow project.,Ethan,16/11/2024,30/11/2024,,To Do,High,2,1,Smart Workflow,testing,High,Low,0.92,0.08,Reassign to experienced member
1586,Bug Fix,Bug Fix task for Productivity Suite project.,Alice,19/03/2024,28/03/2024,,In Progress,High,20,25,AI Task Manager,testing,Low,Medium,0.43,0.57,Review task dependencies
1587,Backend API,UI Design task for Productivity Suite project.,George,24/10/2024,12/11/2024,12/11/2024,Completed,Critical,2,0,Smart Workflow,testing,Low,Critical,0.67,0.33,Increase resources for faster completion
1588,Model Training,Documentation task for Productivity Suite project.,Alice,26/01/2024,11/02/2024,,Completed,High,10,11,Automation Bot,AI,Low,High,0.6,0.4,Automate repetitive sub-tasks
1589,User Feedback Integration,Documentation task for Automation Bot project.,Hannah,18/11/2024,03/12/2024,03/12/2024,Completed,Low,20,18,AI Task Manager,database,High,Medium,0.62,0.38,Increase resources for faster completion
1590,Data Analysis,Testing task for Data Analytics project.,Diana,25/05/2024,04/06/2024,04/06/2024,Completed,Medium,7,6,Productivity Suite,NLP,High,Low,0.18,0.82,Reassign to experienced member
1591,User Feedback Integration,Bug Fix task for Productivity Suite project.,Alice,28/12/2024,06/01/2025,06/01/2025,Completed,Medium,6,11,AI Task Manager,integration,Low,Medium,0.47,0.53,Reassign to experienced member
1592,UI Design,UI Design task for Automation Bot project.,Alice,23/07/2024,06/08/2024,06/08/2024,Completed,Critical,20,19,Smart Workflow,NLP,High,Low,0.52,0.48,Maintain current workflow efficiency
1593,User Feedback Integration,Data Analysis task for Productivity Suite project.,Bob,05/12/2024,23/12/2024,23/12/2024,Completed,High,17,16,Productivity Suite,testing,High,High,0.66,0.34,Automate repetitive sub-tasks
1594,Documentation,Documentation task for AI Task Manager project.,Alice,01/06/2024,20/06/2024,20/06/2024,Completed,Medium,2,0,AI Task Manager,backend,High,Critical,0.07,0.93,Increase resources for faster completion
1595,Backend API,Bug Fix task for Automation Bot project.,Fiona,10/06/2024,24/06/2024,,To Do,Low,17,22,Productivity Suite,AI,Low,Critical,0.31,0.69,Increase resources for faster completion
1596,Model Training,Testing task for Data Analytics project.,Charlie,06/02/2024,09/02/2024,,On Hold,Critical,15,16,Automation Bot,testing,High,Low,0.2,0.8,Automate repetitive sub-tasks
1597,Data Analysis,Backend API task for Data Analytics project.,Alice,17/05/2024,06/06/2024,06/06/2024,Completed,High,16,20,Smart Workflow,database,Medium,Medium,0.33,0.67,Maintain current workflow efficiency
1598,Model Training,Model Training task for Data Analytics project.,Diana,02/10/2024,15/10/2024,15/10/2024,Completed,Medium,17,17,Smart Workflow,integration,High,Critical,0.73,0.27,Review task dependencies
1599,UI Design,Data Analysis task for Productivity Suite project.,Hannah,07/01/2024,11/01/2024,,Completed,Medium,10,10,Automation Bot,AI,Medium,Low,0.28,0.72,Reassign to experienced member
1600,Data Analysis,Data Analysis task for Smart Workflow project.,Charlie,12/05/2024,04/06/2024,04/06/2024,Completed,Low,13,11,Productivity Suite,integration,Medium,Medium,0.01,0.99,Reassign to experienced member
1601,Backend API,User Feedback Integration task for AI Task Manager project.,George,08/02/2024,15/02/2024,,On Hold,Critical,5,8,Smart Workflow,ML,High,High,0,1,Increase resources for faster completion
1602,Documentation,Testing task for Data Analytics project.,Fiona,25/03/2024,18/04/2024,18/04/2024,Completed,Low,10,8,Data Analytics,AI,Low,Critical,0.54,0.46,Automate repetitive sub-tasks
1603,Data Analysis,Backend API task for Data Analytics project.,Fiona,11/11/2024,17/11/2024,17/11/2024,Completed,Medium,3,8,Productivity Suite,frontend,Medium,Critical,0.28,0.72,Automate repetitive sub-tasks
1604,Documentation,Data Analysis task for Automation Bot project.,Alice,06/08/2024,20/08/2024,20/08/2024,Completed,High,14,15,Productivity Suite,database,Medium,Critical,0.45,0.55,Review task dependencies
1605,Model Training,Data Analysis task for AI Task Manager project.,Charlie,28/05/2024,03/06/2024,,Completed,High,7,6,Productivity Suite,backend,High,Low,0.62,0.38,Reassign to experienced member
1606,Data Analysis,UI Design task for AI Task Manager project.,George,01/03/2024,25/03/2024,25/03/2024,Completed,Low,3,7,Data Analytics,database,Medium,Critical,0.83,0.17,Maintain current workflow efficiency
1607,UI Design,Backend API task for Automation Bot project.,Fiona,09/11/2024,25/11/2024,25/11/2024,Completed,High,13,13,Automation Bot,NLP,High,High,0.6,0.4,Increase resources for faster completion
1608,Backend API,Model Training task for AI Task Manager project.,Ethan,24/04/2024,11/05/2024,11/05/2024,Completed,High,12,13,Data Analytics,database,Medium,Low,0.97,0.03,Reassign to experienced member
1609,Model Training,User Feedback Integration task for Data Analytics project.,Diana,07/09/2024,20/09/2024,20/09/2024,Completed,Medium,10,14,AI Task Manager,backend,Low,Critical,0.37,0.63,Automate repetitive sub-tasks
1610,UI Design,Data Analysis task for Data Analytics project.,Ethan,16/12/2024,22/12/2024,,In Progress,Medium,7,11,Productivity Suite,ML,Medium,High,0.4,0.6,Review task dependencies
1611,Documentation,User Feedback Integration task for Smart Workflow project.,Diana,14/05/2024,23/05/2024,23/05/2024,Completed,High,13,16,AI Task Manager,ML,Medium,Critical,0.36,0.64,Reassign to experienced member
1612,UI Design,Data Analysis task for Data Analytics project.,Diana,02/03/2024,12/03/2024,12/03/2024,Completed,High,15,13,Productivity Suite,AI,Low,Critical,0.46,0.54,Reassign to experienced member
1613,Testing,Backend API task for Data Analytics project.,George,22/02/2024,05/03/2024,05/03/2024,Completed,Low,7,10,Data Analytics,database,Medium,Medium,0.66,0.34,Reassign to experienced member
1614,Model Training,Bug Fix task for Smart Workflow project.,Fiona,08/03/2024,29/03/2024,29/03/2024,Completed,Low,3,7,Smart Workflow,NLP,High,Low,0.28,0.72,Automate repetitive sub-tasks
1615,Bug Fix,Bug Fix task for Automation Bot project.,Alice,19/09/2024,28/09/2024,28/09/2024,Completed,Critical,18,21,AI Task Manager,ML,High,Critical,0.08,0.92,Increase resources for faster completion
1616,Bug Fix,User Feedback Integration task for Productivity Suite project.,Hannah,11/07/2024,15/07/2024,15/07/2024,Completed,Critical,11,12,AI Task Manager,ML,High,Critical,0.99,0.01,Automate repetitive sub-tasks
1617,Bug Fix,Testing task for Productivity Suite project.,Bob,11/01/2024,23/01/2024,23/01/2024,Completed,Low,13,11,Smart Workflow,ML,High,High,0.53,0.47,Review task dependencies
1618,Model Training,Documentation task for Productivity Suite project.,Fiona,06/02/2024,10/02/2024,,In Progress,Medium,6,6,Smart Workflow,integration,Low,Critical,0.99,0.01,Automate repetitive sub-tasks
1619,User Feedback Integration,Data Analysis task for Automation Bot project.,Ethan,13/11/2024,30/11/2024,30/11/2024,Completed,High,19,23,AI Task Manager,frontend,Low,High,0.91,0.09,Automate repetitive sub-tasks
1620,Model Training,Model Training task for Smart Workflow project.,Ethan,09/07/2024,14/07/2024,14/07/2024,Completed,Medium,6,11,Automation Bot,frontend,Low,Medium,0.68,0.32,Reassign to experienced member
1621,Documentation,Bug Fix task for Data Analytics project.,George,24/10/2024,09/11/2024,,On Hold,High,20,18,Smart Workflow,backend,Low,High,0.2,0.8,Automate repetitive sub-tasks
1622,User Feedback Integration,User Feedback Integration task for Data Analytics project.,Charlie,03/01/2024,27/01/2024,27/01/2024,Completed,Critical,15,19,Data Analytics,NLP,Low,Critical,0.85,0.15,Maintain current workflow efficiency
1623,Bug Fix,User Feedback Integration task for Productivity Suite project.,George,06/12/2024,18/12/2024,,To Do,High,3,4,Productivity Suite,frontend,High,Medium,0.48,0.52,Increase resources for faster completion
1624,Backend API,Bug Fix task for Automation Bot project.,Hannah,13/05/2024,21/05/2024,21/05/2024,Completed,Low,3,1,Automation Bot,AI,Low,Medium,0.46,0.54,Maintain current workflow efficiency
1625,User Feedback Integration,Bug Fix task for Automation Bot project.,Charlie,21/03/2024,08/04/2024,08/04/2024,Completed,High,6,7,Data Analytics,AI,Low,High,0.29,0.71,Increase resources for faster completion
1626,User Feedback Integration,Backend API task for Productivity Suite project.,Ethan,01/06/2024,17/06/2024,17/06/2024,Completed,High,4,7,Smart Workflow,integration,High,Medium,0.56,0.44,Increase resources for faster completion
1627,Testing,Model Training task for Productivity Suite project.,George,23/12/2024,03/01/2025,,On Hold,Low,10,11,Smart Workflow,database,High,Medium,0.61,0.39,Increase resources for faster completion
1628,UI Design,Testing task for Automation Bot project.,Alice,16/10/2024,25/10/2024,25/10/2024,Completed,Critical,16,19,Productivity Suite,NLP,Medium,High,0.68,0.32,Increase resources for faster completion
1629,Model Training,Model Training task for Smart Workflow project.,Hannah,06/08/2024,25/08/2024,25/08/2024,Completed,Medium,6,5,AI Task Manager,backend,Medium,Critical,0.63,0.37,Increase resources for faster completion
1630,Bug Fix,Testing task for Smart Workflow project.,Ethan,13/05/2024,02/06/2024,,Completed,Low,3,7,Data Analytics,database,Low,Medium,0.9,0.1,Maintain current workflow efficiency
1631,Testing,Model Training task for Automation Bot project.,George,16/06/2024,05/07/2024,05/07/2024,Completed,High,18,18,Productivity Suite,database,Low,Medium,0.83,0.17,Maintain current workflow efficiency
1632,UI Design,Backend API task for Smart Workflow project.,Charlie,10/06/2024,03/07/2024,03/07/2024,Completed,Critical,9,7,AI Task Manager,backend,Medium,Critical,0.1,0.9,Increase resources for faster completion
1633,Bug Fix,Backend API task for Productivity Suite project.,George,23/10/2024,29/10/2024,29/10/2024,Completed,Critical,11,14,AI Task Manager,AI,Low,Critical,0.67,0.33,Review task dependencies
1634,UI Design,Documentation task for AI Task Manager project.,Fiona,09/08/2024,30/08/2024,30/08/2024,Completed,Low,9,14,Productivity Suite,frontend,High,Critical,0.35,0.65,Reassign to experienced member
1635,Data Analysis,Documentation task for AI Task Manager project.,Fiona,05/09/2024,17/09/2024,,To Do,High,3,4,Data Analytics,ML,Low,Medium,0.02,0.98,Review task dependencies
1636,Data Analysis,Documentation task for Data Analytics project.,Alice,09/03/2024,20/03/2024,20/03/2024,Completed,Medium,3,2,Automation Bot,NLP,High,Critical,0.24,0.76,Automate repetitive sub-tasks
1637,UI Design,Data Analysis task for Smart Workflow project.,Charlie,18/05/2024,08/06/2024,08/06/2024,Completed,Low,3,7,Automation Bot,testing,High,Low,0.72,0.28,Maintain current workflow efficiency
1638,Backend API,UI Design task for Data Analytics project.,Diana,06/05/2024,19/05/2024,19/05/2024,Completed,Low,14,13,AI Task Manager,integration,Low,High,0.68,0.32,Reassign to experienced member
1639,Data Analysis,User Feedback Integration task for Smart Workflow project.,Diana,01/02/2024,21/02/2024,,Completed,Critical,5,6,Productivity Suite,ML,Low,Medium,0.54,0.46,Maintain current workflow efficiency
1640,Backend API,UI Design task for AI Task Manager project.,Hannah,19/02/2024,05/03/2024,05/03/2024,Completed,Low,15,16,Automation Bot,frontend,High,Medium,0.8,0.2,Review task dependencies
1641,Testing,UI Design task for Data Analytics project.,George,15/12/2024,07/01/2025,07/01/2025,Completed,Medium,11,11,Productivity Suite,database,High,Medium,0.08,0.92,Automate repetitive sub-tasks
1642,UI Design,UI Design task for AI Task Manager project.,Fiona,09/03/2024,23/03/2024,23/03/2024,Completed,Medium,10,15,AI Task Manager,database,Medium,Low,0.66,0.34,Automate repetitive sub-tasks
1643,Backend API,Model Training task for Smart Workflow project.,Diana,25/01/2024,09/02/2024,,On Hold,Medium,9,8,AI Task Manager,testing,High,High,0.51,0.49,Reassign to experienced member
1644,Data Analysis,Backend API task for AI Task Manager project.,Alice,05/03/2024,30/03/2024,30/03/2024,Completed,Low,20,21,Productivity Suite,database,Medium,High,0.22,0.78,Review task dependencies
1645,Data Analysis,Data Analysis task for Smart Workflow project.,Hannah,08/10/2024,15/10/2024,,Completed,Low,17,18,Smart Workflow,ML,Low,Low,0.93,0.07,Reassign to experienced member
1646,Model Training,UI Design task for Smart Workflow project.,Diana,14/01/2024,22/01/2024,,Completed,Low,9,7,Productivity Suite,NLP,High,Medium,0.79,0.21,Review task dependencies
1647,Backend API,Bug Fix task for Data Analytics project.,George,10/06/2024,22/06/2024,22/06/2024,Completed,Low,5,3,Automation Bot,NLP,High,Medium,0.58,0.42,Automate repetitive sub-tasks
1648,UI Design,Model Training task for Productivity Suite project.,George,01/07/2024,17/07/2024,,In Progress,Medium,7,7,Productivity Suite,NLP,Medium,High,0.55,0.45,Reassign to experienced member
1649,UI Design,Backend API task for Productivity Suite project.,Ethan,26/08/2024,10/09/2024,10/09/2024,Completed,Medium,2,1,Smart Workflow,NLP,High,High,0.98,0.02,Reassign to experienced member
1650,Backend API,Backend API task for Data Analytics project.,Alice,14/08/2024,02/09/2024,02/09/2024,Completed,Medium,17,22,AI Task Manager,testing,Low,Low,0.28,0.72,Increase resources for faster completion
1651,Model Training,User Feedback Integration task for Smart Workflow project.,Bob,08/09/2024,15/09/2024,,Completed,Critical,5,6,Automation Bot,integration,High,Low,0.46,0.54,Automate repetitive sub-tasks
1652,User Feedback Integration,Backend API task for AI Task Manager project.,Bob,05/05/2024,10/05/2024,10/05/2024,Completed,High,12,15,Smart Workflow,frontend,Low,Low,0.89,0.11,Maintain current workflow efficiency
1653,User Feedback Integration,Model Training task for AI Task Manager project.,Hannah,28/10/2024,20/11/2024,,On Hold,High,11,11,Data Analytics,NLP,High,Medium,0.76,0.24,Reassign to experienced member
1654,Model Training,Model Training task for Productivity Suite project.,George,26/11/2024,16/12/2024,16/12/2024,Completed,High,11,10,Productivity Suite,backend,Low,Medium,0.29,0.71,Automate repetitive sub-tasks
1655,User Feedback Integration,UI Design task for AI Task Manager project.,Fiona,02/08/2024,17/08/2024,17/08/2024,Completed,Medium,8,12,AI Task Manager,AI,High,Critical,0.37,0.63,Maintain current workflow efficiency
1656,UI Design,Model Training task for Data Analytics project.,Hannah,28/09/2024,15/10/2024,,To Do,Low,6,8,Data Analytics,AI,High,Medium,0.84,0.16,Review task dependencies
1657,Model Training,Data Analysis task for Data Analytics project.,Hannah,26/02/2024,11/03/2024,,On Hold,High,3,1,Data Analytics,frontend,Medium,High,0.3,0.7,Automate repetitive sub-tasks
1658,UI Design,Documentation task for Data Analytics project.,George,23/08/2024,05/09/2024,,On Hold,High,9,10,Smart Workflow,integration,Medium,High,0.46,0.54,Automate repetitive sub-tasks
1659,Model Training,User Feedback Integration task for Data Analytics project.,Bob,15/08/2024,20/08/2024,20/08/2024,Completed,Medium,7,6,Automation Bot,frontend,High,Medium,0.96,0.04,Automate repetitive sub-tasks
1660,Backend API,Backend API task for Productivity Suite project.,Hannah,16/11/2024,02/12/2024,02/12/2024,Completed,High,12,17,Data Analytics,testing,High,High,0.99,0.01,Reassign to experienced member
1661,Documentation,Backend API task for Smart Workflow project.,Ethan,27/10/2024,16/11/2024,16/11/2024,Completed,Low,11,14,Data Analytics,ML,Medium,Medium,0.95,0.05,Automate repetitive sub-tasks
1662,Data Analysis,User Feedback Integration task for Smart Workflow project.,Diana,09/06/2024,22/06/2024,,Completed,Critical,18,23,Automation Bot,ML,Low,Medium,0.94,0.06,Reassign to experienced member
1663,Testing,Testing task for Automation Bot project.,Alice,26/11/2024,17/12/2024,,Completed,High,3,4,Productivity Suite,frontend,Medium,Low,0.41,0.59,Maintain current workflow efficiency
1664,User Feedback Integration,Testing task for Data Analytics project.,Ethan,13/10/2024,28/10/2024,28/10/2024,Completed,Low,15,19,Productivity Suite,ML,High,High,0.99,0.01,Reassign to experienced member
1665,UI Design,UI Design task for Smart Workflow project.,Diana,17/10/2024,01/11/2024,01/11/2024,Completed,Medium,16,20,Automation Bot,database,High,Critical,0.2,0.8,Maintain current workflow efficiency
1666,Backend API,Bug Fix task for AI Task Manager project.,Alice,27/05/2024,08/06/2024,08/06/2024,Completed,Critical,14,12,Productivity Suite,database,High,Low,0.35,0.65,Increase resources for faster completion
1667,Data Analysis,UI Design task for Smart Workflow project.,Alice,09/08/2024,28/08/2024,28/08/2024,Completed,Medium,12,16,Smart Workflow,backend,Low,Low,0.21,0.79,Review task dependencies
1668,Data Analysis,User Feedback Integration task for AI Task Manager project.,Alice,10/02/2024,13/02/2024,13/02/2024,Completed,Critical,19,20,AI Task Manager,backend,High,Medium,0.82,0.18,Increase resources for faster completion
1669,User Feedback Integration,Backend API task for AI Task Manager project.,Charlie,26/02/2024,20/03/2024,,In Progress,Medium,4,3,Productivity Suite,AI,Low,High,0.62,0.38,Maintain current workflow efficiency
1670,Documentation,Backend API task for Smart Workflow project.,Hannah,04/05/2024,17/05/2024,17/05/2024,Completed,Low,11,13,Data Analytics,database,Low,Low,0.72,0.28,Reassign to experienced member
1671,Model Training,User Feedback Integration task for Data Analytics project.,Alice,22/04/2024,30/04/2024,30/04/2024,Completed,Low,13,13,Data Analytics,integration,Medium,Low,0.37,0.63,Reassign to experienced member
1672,Data Analysis,Data Analysis task for Data Analytics project.,Alice,03/11/2024,28/11/2024,28/11/2024,Completed,High,4,9,Smart Workflow,integration,Low,Medium,0.86,0.14,Review task dependencies
1673,Data Analysis,Model Training task for AI Task Manager project.,Charlie,03/09/2024,18/09/2024,18/09/2024,Completed,Medium,13,12,Data Analytics,testing,High,Low,0.85,0.15,Review task dependencies
1674,Testing,Data Analysis task for Productivity Suite project.,Diana,27/10/2024,09/11/2024,,Completed,Low,20,24,Productivity Suite,testing,Medium,Critical,0.98,0.02,Increase resources for faster completion
1675,Backend API,Model Training task for Automation Bot project.,Fiona,06/08/2024,10/08/2024,,On Hold,Critical,13,17,Smart Workflow,ML,Medium,Critical,0.48,0.52,Increase resources for faster completion
1676,Model Training,User Feedback Integration task for Data Analytics project.,Bob,11/03/2024,17/03/2024,17/03/2024,Completed,High,7,6,Productivity Suite,NLP,Low,Critical,0.47,0.53,Automate repetitive sub-tasks
1677,Documentation,Bug Fix task for AI Task Manager project.,Alice,07/08/2024,13/08/2024,13/08/2024,Completed,High,9,8,Automation Bot,frontend,High,Medium,0.96,0.04,Automate repetitive sub-tasks
1678,Bug Fix,UI Design task for Automation Bot project.,Ethan,25/11/2024,03/12/2024,03/12/2024,Completed,Low,14,13,AI Task Manager,backend,Low,Medium,1,0,Maintain current workflow efficiency
1679,UI Design,UI Design task for Smart Workflow project.,Charlie,28/01/2024,18/02/2024,,In Progress,Low,3,3,Productivity Suite,AI,Low,Low,0.3,0.7,Automate repetitive sub-tasks
1680,Bug Fix,Data Analysis task for Productivity Suite project.,Alice,11/02/2024,17/02/2024,17/02/2024,Completed,High,6,8,Automation Bot,database,Low,Critical,0.34,0.66,Reassign to experienced member
1681,Model Training,Testing task for Automation Bot project.,Ethan,01/05/2024,13/05/2024,13/05/2024,Completed,Low,9,13,Smart Workflow,ML,Low,High,0.2,0.8,Review task dependencies
1682,Bug Fix,User Feedback Integration task for Productivity Suite project.,Charlie,01/08/2024,09/08/2024,09/08/2024,Completed,Medium,11,14,Data Analytics,ML,Medium,Medium,0.82,0.18,Maintain current workflow efficiency
1683,User Feedback Integration,Documentation task for Data Analytics project.,Bob,24/09/2024,15/10/2024,15/10/2024,Completed,High,13,12,Automation Bot,frontend,Medium,High,0.68,0.32,Review task dependencies
1684,Bug Fix,Testing task for Smart Workflow project.,George,23/02/2024,18/03/2024,18/03/2024,Completed,Critical,19,21,Data Analytics,frontend,Medium,Medium,0.8,0.2,Review task dependencies
1685,Data Analysis,Backend API task for Data Analytics project.,Hannah,20/01/2024,13/02/2024,13/02/2024,Completed,High,4,5,Automation Bot,backend,High,High,0.64,0.36,Review task dependencies
1686,Model Training,Bug Fix task for Smart Workflow project.,George,14/12/2024,29/12/2024,29/12/2024,Completed,High,9,8,AI Task Manager,backend,Low,Medium,0.11,0.89,Review task dependencies
1687,Testing,Bug Fix task for Data Analytics project.,Charlie,09/06/2024,22/06/2024,22/06/2024,Completed,Low,4,6,Productivity Suite,frontend,High,High,0.01,0.99,Increase resources for faster completion
1688,User Feedback Integration,UI Design task for Productivity Suite project.,Hannah,02/11/2024,19/11/2024,19/11/2024,Completed,High,2,2,Productivity Suite,database,Medium,Critical,0.24,0.76,Increase resources for faster completion
1689,Backend API,Bug Fix task for AI Task Manager project.,Charlie,24/07/2024,17/08/2024,17/08/2024,Completed,Low,11,15,Data Analytics,testing,Low,High,0.4,0.6,Review task dependencies
1690,Model Training,Backend API task for AI Task Manager project.,Charlie,07/09/2024,16/09/2024,,On Hold,Medium,19,21,Automation Bot,NLP,Low,Medium,0.76,0.24,Increase resources for faster completion
1691,Testing,Bug Fix task for Data Analytics project.,Alice,03/04/2024,25/04/2024,25/04/2024,Completed,Medium,19,19,Data Analytics,frontend,Low,Medium,0.17,0.83,Review task dependencies
1692,Bug Fix,Documentation task for Smart Workflow project.,Ethan,16/07/2024,21/07/2024,21/07/2024,Completed,Medium,20,18,AI Task Manager,backend,High,Medium,0.22,0.78,Review task dependencies
1693,UI Design,UI Design task for Productivity Suite project.,Fiona,18/10/2024,26/10/2024,26/10/2024,Completed,Critical,3,3,Productivity Suite,NLP,Low,Critical,0.98,0.02,Review task dependencies
1694,Model Training,Bug Fix task for AI Task Manager project.,Charlie,25/11/2024,07/12/2024,07/12/2024,Completed,Medium,4,8,Data Analytics,ML,Medium,Critical,0.86,0.14,Automate repetitive sub-tasks
1695,Bug Fix,User Feedback Integration task for Smart Workflow project.,Alice,14/10/2024,03/11/2024,03/11/2024,Completed,Medium,16,17,AI Task Manager,NLP,High,Low,0.57,0.43,Automate repetitive sub-tasks
1696,Data Analysis,Bug Fix task for Automation Bot project.,Diana,19/03/2024,13/04/2024,13/04/2024,Completed,Medium,7,9,Automation Bot,database,High,Critical,0.85,0.15,Increase resources for faster completion
1697,Data Analysis,Data Analysis task for Productivity Suite project.,Alice,06/09/2024,17/09/2024,17/09/2024,Completed,Low,13,17,Automation Bot,testing,Low,High,0.15,0.85,Reassign to experienced member
1698,Documentation,User Feedback Integration task for AI Task Manager project.,Hannah,12/03/2024,18/03/2024,18/03/2024,Completed,Medium,8,11,AI Task Manager,AI,Low,Medium,0.09,0.91,Reassign to experienced member
1699,Documentation,Data Analysis task for AI Task Manager project.,Fiona,26/02/2024,20/03/2024,,On Hold,Medium,13,16,Productivity Suite,ML,Low,Medium,0.56,0.44,Increase resources for faster completion
1700,Data Analysis,Data Analysis task for AI Task Manager project.,Alice,06/08/2024,25/08/2024,25/08/2024,Completed,Medium,12,14,Productivity Suite,database,High,High,0.22,0.78,Increase resources for faster completion
1701,UI Design,Testing task for Data Analytics project.,Charlie,23/12/2024,12/01/2025,12/01/2025,Completed,High,18,22,Productivity Suite,ML,High,High,0.97,0.03,Automate repetitive sub-tasks
1702,Backend API,Testing task for Smart Workflow project.,Diana,06/01/2024,12/01/2024,,In Progress,Critical,10,11,Productivity Suite,backend,High,Critical,0.3,0.7,Automate repetitive sub-tasks
1703,Model Training,Data Analysis task for Data Analytics project.,Fiona,03/08/2024,06/08/2024,06/08/2024,Completed,Critical,9,8,Smart Workflow,AI,Low,High,0.76,0.24,Maintain current workflow efficiency
1704,Model Training,Model Training task for Data Analytics project.,Hannah,13/08/2024,24/08/2024,24/08/2024,Completed,Critical,18,18,AI Task Manager,NLP,High,Medium,0.27,0.73,Reassign to experienced member
1705,User Feedback Integration,Bug Fix task for Smart Workflow project.,Alice,05/04/2024,14/04/2024,,On Hold,Medium,5,10,AI Task Manager,NLP,Medium,Low,0.84,0.16,Maintain current workflow efficiency
1706,User Feedback Integration,UI Design task for AI Task Manager project.,Ethan,06/02/2024,28/02/2024,,Completed,Critical,10,11,Automation Bot,frontend,Medium,Critical,0.74,0.26,Reassign to experienced member
1707,Data Analysis,UI Design task for Smart Workflow project.,Hannah,21/05/2024,11/06/2024,11/06/2024,Completed,High,11,16,AI Task Manager,integration,Medium,Critical,0.08,0.92,Maintain current workflow efficiency
1708,Testing,Testing task for Data Analytics project.,Bob,23/03/2024,31/03/2024,31/03/2024,Completed,Critical,18,16,AI Task Manager,NLP,Medium,Critical,0.98,0.02,Maintain current workflow efficiency
1709,Testing,Testing task for Smart Workflow project.,Fiona,06/08/2024,29/08/2024,,Completed,High,11,9,AI Task Manager,ML,High,Critical,0.14,0.86,Automate repetitive sub-tasks
1710,Documentation,Testing task for AI Task Manager project.,Alice,03/11/2024,19/11/2024,,To Do,Critical,13,12,Smart Workflow,NLP,High,High,0.78,0.22,Maintain current workflow efficiency
1711,Documentation,User Feedback Integration task for Data Analytics project.,Fiona,26/12/2024,29/12/2024,,To Do,Medium,11,10,AI Task Manager,testing,Medium,Medium,0.87,0.13,Automate repetitive sub-tasks
1712,Bug Fix,Bug Fix task for Productivity Suite project.,George,20/05/2024,24/05/2024,24/05/2024,Completed,Medium,14,12,Smart Workflow,frontend,High,Medium,0.46,0.54,Reassign to experienced member
1713,Backend API,UI Design task for AI Task Manager project.,Ethan,12/02/2024,27/02/2024,27/02/2024,Completed,Medium,3,2,Data Analytics,ML,Medium,Medium,0.69,0.31,Automate repetitive sub-tasks
1714,Documentation,Model Training task for AI Task Manager project.,Bob,16/04/2024,25/04/2024,25/04/2024,Completed,Critical,16,16,Productivity Suite,testing,Low,Medium,0.16,0.84,Automate repetitive sub-tasks
1715,Documentation,Testing task for Automation Bot project.,Alice,06/02/2024,29/02/2024,,On Hold,Low,7,8,Automation Bot,backend,Low,Critical,0.02,0.98,Increase resources for faster completion
1716,UI Design,User Feedback Integration task for Automation Bot project.,Charlie,11/06/2024,30/06/2024,30/06/2024,Completed,Low,7,7,Smart Workflow,NLP,High,Medium,0.88,0.12,Automate repetitive sub-tasks
